,tweet_volume,Topic,URL
0,492471,Bitcoin,http://twitter.com/search?q=Bitcoin
1,334471,Arsenal,http://twitter.com/search?q=Arsenal
2,323089,NATO,http://twitter.com/search?q=NATO
3,267753,Israeli,http://twitter.com/search?q=Israeli
4,195710,Shireen Abu Akleh,http://twitter.com/search?q=%22Shireen+Abu+Akleh%22
5,189917,Manchin,http://twitter.com/search?q=Manchin
6,154622,Finland,http://twitter.com/search?q=Finland
7,113099,Jrue,http://twitter.com/search?q=Jrue
8,87472,Spurs,http://twitter.com/search?q=Spurs
9,84554,Singh,http://twitter.com/search?q=Singh
10,80273,#TOTARS,http://twitter.com/search?q=%23TOTARS
